OBJECTID,STATE_ABBR,STATE_FIPS,COUNTY_FIPS,STCOFIPS,TRACT_FIPS,FIPS,POPULATION,POP_SQMI,SQMI,POPULATION_2020,POP20_SQMI,incidents_total,opioid_incidents,naloxone_opioid_total,naloxone_opioid_rate,hospital_total,hospital_rate,hospital_opioid,hospital_meth,hospital_benzo,hospital_cocaine,hospital_alcohol,opioid_total,meth_total,benzo_total,cocaine_total,alcohol_total,hospital_rate_opioid,hospital_rate_meth,hospital_rate_benzo,hospital_rate_cocaine,hospital_rate_alcohol,Opioid,Methamphetamine,Benzodiazepine,Cocaine,Alcohol,MDMA,Synthetic_Marijuana,Crack,LSD,polysub_incidents,polysub_rate,mean_substances,F2020_od,F2021_od,F2022_od,F2023_od,F2024_od,F2025_od,unique_substances_present,Opioid_2025,Meth_2025,Benzo_2025,Cocaine_2025,Alcohol_2025,SynthMJ_2025,PCP_2025,Opioid_2425,Meth_2425,Cocaine_2425,Alcohol_2425,Benzo_2425,SynthMJ_2425,PCP_2425,Stimulant_2425,population_1,ruca_code,ruca_category,spatial_lambda,pop_ok,rate_total_per1k,eb_rate_total_per1k,rate_2020_per1k,eb_rate_2020_per1k,rate_2021_per1k,eb_rate_2021_per1k,rate_2022_per1k,eb_rate_2022_per1k,rate_2023_per1k,eb_rate_2023_per1k,rate_2024_per1k,eb_rate_2024_per1k,rate_2025_per1k,eb_rate_2025_per1k,spatial_rate_per1k,spatial_rate_2020_per1k,spatial_rate_2021_per1k,spatial_rate_2022_per1k,spatial_rate_2023_per1k,spatial_rate_2024_per1k,spatial_rate_2025_per1k,incidents_2425,polysub_incidents_2425,opioid_incidents_2425,naloxone_opioid_total_2425,naloxone_opioid_rate_2425,z_rate,z_incidents,z_polysub,z_opioid,burden_tier,burden_num,burden_high,stimulant_total_2425,signal_total_2425,alpha_op,beta_op,alpha_st,beta_st,p_opioid_dom,p_stimulant_dom,dominance_confidence,dominance_direction,ecosystem_type,ecosystem_num,past_mean,recent_mean,trend_ratio,trend_flag,trend_num,network_ready,naloxone_gap,expected_opioid_ods_annual,expected_opioid_ods_rate_100k,burden_weight,kits_need_min_floor,kits_need_median_base,est_kits_needed_annual_median,kits_need_high_base,est_kits_needed_annual_high,Incidents_Substances_0,Incidents_Substances_1,Incidents_Substances_2,Incidents_Substances_3,Incidents_Substances_4,Incidents_Substances_5,Sum2425_Opioid,Sum2425_Meth,Sum2425_Benzo,Sum2425_Alcohol,Sum2425_Cocaine,Sum2425_SynthCan,Sum2425_PCP,Sum2425_Unknown,Sum2425_Other,SpikeEvents_2021,SpikeEvents_2022,SpikeEvents_2023,SpikeEvents_2024,SpikeEvents_2025,yoy_change_2021_per1k,yoy_pct_change_2021,yoy_change_2022_per1k,yoy_pct_change_2022,yoy_change_2023_per1k,yoy_pct_change_2023,yoy_change_2024_per1k,yoy_pct_change_2024,yoy_change_2025_per1k,yoy_pct_change_2025,cagr_2020_2025,Opioid_2021,Opioid_2023,Opioid_2024,Opioid_2020,Opioid_2022,Methamphetamine_2021,Methamphetamine_2023,Methamphetamine_2024,Methamphetamine_2020,Methamphetamine_2022,Benzodiazepine_2021,Benzodiazepine_2023,Benzodiazepine_2024,Benzodiazepine_2020,Benzodiazepine_2022,Cocaine_2021,Cocaine_2023,Cocaine_2024,Cocaine_2020,Cocaine_2022,Alcohol_2021,Alcohol_2023,Alcohol_2024,Alcohol_2020,Alcohol_2022,MDMA_2021,MDMA_2023,MDMA_2024,MDMA_2020,MDMA_2022,Synthetic_Marijuana_2021,Synthetic_Marijuana_2023,Synthetic_Marijuana_2024,Synthetic_Marijuana_2020,Synthetic_Marijuana_2022,Crack_2021,Crack_2023,Crack_2024,Crack_2020,Crack_2022,LSD_2021,LSD_2023,LSD_2024,LSD_2020,LSD_2022,PCP_2021,PCP_2023,PCP_2024,PCP_2020,PCP_2022,Methamphetamine_2025,Benzodiazepine_2025,Synthetic_Marijuana_2025,MDMA_2025,Crack_2025,LSD_2025,Sum2425_MDMA,Sum2425_Crack,Sum2425_LSD,cagr_raw_Opioid_2020_2025,cagr_raw_incidents_2020_2025,Infographic_Link
1,KS,20,001,20001,952600,20001952600,1753,6.40000000,272.57000000,1791,6.60000000,8,1,1,100.00000000,4,50.00000000,1,0,1,0,1,1,0,2,0,1,100.00000000,0.00000000,50.00000000,0,100.00000000,1,0,2,0,1,0,0,0,0,0,0.00000000,0.50000000,0,,0,,5,0,3,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1848,9,Rural,0.75000000,TRUE,0.72150072,0.94315160,0.00000000,0.28477472,,,0.00000000,0.26596054,,,2.70562771,2.78327158,0.00000000,0.18515810,1.26130620,0.74693150,,0.88187406,,2.56132481,0.69378010,5,0,0,0,0.00000000,-0.64467096,-0.58218400,-0.65611832,-0.59193277,Low Burden,1,0,0,0,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,50.00000000,Balanced,Low Activity,1,0.50000000,2.50000000,2.50000000,Increasing,4,0,0,0.05000000,2.70562771,0.60000000,4.62000000,9.76631040,10,14.08176000,15,2,3,0,0,0,0,0,0,2,1,0,0,0,2,0,,0,,0,0,0.41430753,,-0.27936498,-24.05749105,0.56062432,,1.11882643,77.56171146,-1.86754471,-72.91323251,-1.46552394,,,0,0,0,,,0,0,0,,,2,0,0,,,0,0,0,,,1,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,,,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/1fdb2435079946e49fde122f3cf6b9d7.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
2,KS,20,001,20001,952700,20001952700,1970,21.00000000,93.60000000,2009,21.50000000,14,1,0,0.00000000,9,64.28571429,1,1,1,0,2,1,1,1,0,2,100.00000000,100.00000000,100.00000000,0,100.00000000,1,1,1,0,2,0,0,0,0,1,7.14285714,0.35714286,,,5,0,,,4,,,,,,,,,,,,,,,,1883,8,Rural,0.75000000,TRUE,1.23915737,1.42357682,,,,,2.65533723,2.74435818,0.00000000,0.23138280,,,,,1.65531813,,,2.76027768,0.68211197,,,,,,,,,,,,Low Burden,,,,,,,,,,,,Stimulant,Low Activity,,,,,Decreasing,,,,,,,,,,,,2,0,1,0,0,0,,,,,,,,,,,,,,,-0.61549363,,1.19996245,76.90512954,-2.07816571,-75.28828433,0.92075303,,-0.55945932,,,,0,,,1,,0,,,0,,0,,,1,,0,,,0,,0,,,1,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,,,,,,,,,,,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/fc38fc9eae534329913b2ded1b8a4468.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
3,KS,20,001,20001,952900,20001952900,2161,167.50000000,12.90000000,2230,172.90000000,56,8,5,62.50000000,43,76.78571429,8,7,3,0,7,8,10,3,0,8,100.00000000,70.00000000,100.00000000,0,87.50000000,8,10,3,0,8,0,0,0,0,4,7.14285714,0.51785714,8,11,12,6,7,12,4,4,4,0,0,0,0,0,5,7,0,2,0,0,0,7,2021,7,Rural,0.75000000,TRUE,4.61817582,4.58687115,3.95843642,3.93822590,5.44285007,5.38043464,5.93765463,5.82162291,2.96882731,3.04504649,3.46363186,3.49262504,5.93765463,5.85317598,3.93307965,3.43887849,4.60756395,4.99256498,2.67200291,3.14931793,4.72757296,19,3,5,3,60.00000000,-0.03459579,-0.18722008,-0.10405109,-0.12885990,Low Burden,1,0,7,12,5.50000000,7.50000000,7.50000000,5.50000000,0.28291753,0.71708247,71.70824700,Stimulant,Stimulant Domint,5,11.50000000,9.50000000,0.82608696,Stable,3,1,0,2.15000000,106.38297870,1.41304638,5.05250000,25.15359345,26,36.26823761,37,8,8,3,0,0,0,5,7,0,2,0,0,0,8,0,0,0,0,0,0,1.16868547,33.98449436,0.38500102,8.35584758,-2.32056206,-46.48035780,0.47731502,17.86356650,1.57825503,50.11418539,6.57228605,2,1,1,0,0,0,1,3,0,2,0,2,0,0,1,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,,8.44717712,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/084b0913ce64493391e10131c8b4c8be.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
4,KS,20,001,20001,952800,20001952800,3746,305.00000000,12.28000000,3813,310.50000000,80,12,7,58.33333333,71,88.75000000,12,8,4,0,6,12,8,4,0,7,100.00000000,100.00000000,100.00000000,0,85.71428571,12,8,4,0,7,0,2,0,0,3,3.75000000,0.41250000,16,15,19,11,10,9,5,0,4,1,0,0,0,0,0,5,0,2,2,0,0,5,3973,7,Rural,0.75000000,TRUE,3.35598624,3.37950104,4.02718349,4.01394440,3.77548452,3.79423161,4.78228039,4.75823309,2.76868865,2.81329913,2.51698968,2.55983520,2.26529071,2.30317422,3.21387905,3.62736262,3.67523841,4.47025766,2.54172903,2.47213512,2.45803893,19,1,0,0,0.00000000,-0.19881871,-0.18722008,-0.47209591,-0.59193277,Low Burden,1,0,5,5,0.50000000,5.50000000,5.50000000,0.50000000,0.00687230,0.99312770,99.31277000,Stimulant,Stimulant Domint,5,17.00000000,9.50000000,0.55882353,Decreasing,2,0,0,0.60000000,15.10193808,0.60000000,9.93250000,20.99651040,21,30.27426000,31,11,7,1,0,0,0,0,5,2,2,0,0,0,11,0,0,0,0,0,0,0.04787580,1.31985145,0.79501924,21.63177325,-1.92852863,-43.14133044,-0.06959391,-2.73805383,-0.01409619,-0.57020298,-7.48768327,3,5,0,1,3,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,-100.00000000,-10.86987710,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/7a1ee15f77d9414dbc5cf6793e574e69.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
5,KS,20,001,20001,953000,20001953000,2674,23.50000000,113.98000000,2683,23.50000000,34,4,2,50.00000000,24,70.58823529,4,6,4,0,1,4,8,6,0,1,100.00000000,75.00000000,66.66666667,0,100.00000000,4,8,6,0,1,0,1,0,0,3,8.82352941,0.58823529,,9,6,5,5,6,5,2,4,2,0,0,0,0,2,6,0,0,3,0,0,6,2766,10,Isolated Rural,0.80000000,TRUE,2.04868643,2.14059118,,,3.25379610,3.30317820,2.16919740,2.25301294,1.80766450,1.90462684,1.80766450,1.89784796,2.16919740,2.22613259,2.25446540,,3.23704594,2.34942118,1.96713053,2.14668536,2.20947499,11,2,2,0,0.00000000,-0.41789209,-0.41291375,-0.28807350,-0.40670362,Low Burden,1,0,6,8,2.50000000,6.50000000,6.50000000,2.50000000,0.07668919,0.92331081,92.33108100,Stimulant,Stimulant Domint,5,7.50000000,5.50000000,0.73333333,Decreasing,2,1,0,0.90000000,32.53796095,0.78147576,6.91500000,19.03903767,20,27.45183679,28,3,6,1,1,0,0,2,6,3,0,0,0,0,3,0,1,0,0,0,0,1.66102946,105.39416890,-0.88762476,-27.42082672,-0.38229064,-16.27169479,0.17955483,9.12775347,0.06278963,2.92495722,,0,2,0,,0,0,1,2,,1,0,2,1,,1,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,1,0,0,0,,0,0,0,0,,0,0,0,0,,0,4,2,0,0,0,0,0,0,0,,,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/b914c768580c419ebd9cf08a25caef02.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
6,KS,20,003,20003,953700,20003953700,2860,6.30000000,452.14000000,2885,6.40000000,26,2,1,50.00000000,21,80.76923077,1,0,1,0,2,2,1,2,0,2,50.00000000,0.00000000,50.00000000,0,100.00000000,2,1,2,0,2,0,0,0,0,0,0.00000000,0.26923077,,5,9,,5,,4,,,,,,,,0,0,0,1,2,0,0,0,3290,10,Isolated Rural,0.80000000,TRUE,1.31712259,1.42270759,,,1.51975684,1.62576036,2.73556231,2.78490222,,,1.51975684,1.60618590,,,1.55016482,,1.65592864,2.62220189,,1.74424903,,9,0,0,0,0.00000000,-0.57871272,-0.46933717,-0.65611832,-0.59193277,Low Burden,1,0,0,0,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,0.50000000,50.00000000,Balanced,Diffuse Ecosystem,2,7.00000000,4.50000000,0.64285714,Decreasing,2,0,0,0.10000000,3.03951368,0.60000000,8.22500000,17.38699200,18,25.06980000,26,6,3,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,,2,,0.63527349,62.24173704,0.96627325,58.35234823,-1.82400128,,0.94604841,118.52263640,-0.33835544,,,0,,0,,1,0,,0,,1,0,,1,,0,0,,0,,0,0,,1,,1,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,0,,0,,0,,,,,,,0,0,0,,,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/d73da1c700f04a338ffe900eec715bd7.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
7,KS,20,003,20003,953600,20003953600,4892,37.20000000,131.59000000,4951,37.60000000,56,9,6,66.66666667,41,73.21428571,8,9,2,3,8,9,11,2,3,8,88.88888889,81.81818182,100.00000000,100,100.00000000,9,11,2,3,8,0,1,0,0,4,7.14285714,0.60714286,,6,10,15,7,14,6,3,6,0,1,4,0,0,3,7,2,6,1,0,0,9,4529,10,Isolated Rural,0.80000000,TRUE,2.06079341,2.11758181,,,1.32479576,1.40788444,2.20799293,2.25900867,3.31198940,3.33949307,1.54559505,1.60832321,3.09119011,3.10833550,2.23851622,,1.83821659,2.26460659,3.17107132,1.81214205,3.03549347,21,3,3,3,100.00000000,-0.42153394,-0.13079666,-0.10405109,-0.31408905,Low Burden,1,0,9,12,3.50000000,9.50000000,9.50000000,3.50000000,0.03944465,0.96055535,96.05553500,Stimulant,Stimulant Domint,5,8.00000000,10.50000000,1.31250000,Increasing,4,1,0,1.50000000,33.11989402,0.78843304,11.32250000,31.45172288,32,45.34932795,46,6,12,2,1,0,0,3,7,1,6,2,0,0,6,0,0,0,0,0,0,0.53898833,41.48526828,0.42639000,23.19585209,0.90646472,40.02746998,-1.35892927,-42.85394857,1.22335142,67.50858332,,0,4,0,,0,0,4,1,,0,0,1,1,,0,0,1,1,,0,0,2,2,,0,0,0,0,,0,0,0,0,,1,0,0,0,,0,0,0,0,,0,0,0,0,,0,6,0,0,0,0,0,0,0,0,,,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/40b1a9925cf04152b0d9760c5e129b05.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
8,KS,20,005,20005,081701,20005081701,3757,192.30000000,19.54000000,3786,193.80000000,62,18,13,72.22222222,55,88.70967742,15,6,6,0,5,18,6,7,0,5,83.33333333,100.00000000,85.71428571,0,100.00000000,18,6,7,0,5,0,3,0,0,4,6.45161290,0.62903226,11,6,12,11,11,11,5,1,2,2,0,0,0,0,6,3,0,2,5,1,0,3,3525,4,Small Town,0.70000000,TRUE,2.93144208,2.97291459,3.12056738,3.14395618,1.70212766,1.79499207,3.40425532,3.42652023,3.12056738,3.16097427,3.12056738,3.14886088,3.12056738,3.14173867,3.61249024,3.22098682,2.75803681,4.30457721,3.47145570,4.14700902,3.76776361,22,3,6,4,66.66666667,-0.10779946,-0.10258495,-0.10405109,-0.03624532,Low Burden,1,0,3,9,6.50000000,3.50000000,3.50000000,6.50000000,0.84100037,0.15899963,84.10003700,Opioid,Opioid Domint,4,9.00000000,11.00000000,1.22222222,Stable,3,1,0,3.00000000,85.10638298,1.26386711,8.81250000,39.24079872,40,56.58017073,57,9,10,2,1,0,0,6,3,5,2,0,1,0,9,0,0,1,0,1,1,-0.46295002,-14.37292494,1.54654040,56.07395813,-0.83312151,-19.35431684,0.67555333,19.46023182,-0.37924542,-9.14503478,3.18556338,2,3,5,3,4,0,3,1,0,0,0,1,3,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,-19.72584382,0.00000000,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/3f0d37844f004f9b930aef4f00fe6a6a.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
9,KS,20,005,20005,081702,20005081702,2578,254.70000000,10.12000000,2602,257.10000000,76,30,8,26.66666667,67,88.15789474,28,11,5,2,8,30,13,5,2,10,93.33333333,84.61538462,100.00000000,100,80.00000000,30,13,5,2,10,0,0,0,0,10,13.15789474,0.78947368,6,10,16,10,19,15,5,6,8,1,1,2,0,0,13,11,1,5,3,0,0,12,2532,4,Small Town,0.70000000,TRUE,5.00263297,4.95859331,2.36966825,2.44507495,3.94944708,3.97007934,6.31911532,6.20663049,3.94944708,3.97357463,7.50394945,7.34501085,5.92417062,5.85661815,4.67805511,2.68779869,3.91663872,5.79476740,3.83134593,6.53524530,5.33407083,34,6,13,2,15.38461538,0.13551259,0.23595555,0.44801614,0.61205670,Low Burden,1,0,12,25,13.50000000,12.50000000,12.50000000,13.50000000,0.57899476,0.42100524,57.89947600,Opioid,Mixed,3,13.00000000,17.00000000,1.30769231,Increasing,4,1,1,6.05000000,238.94154820,2.11770851,6.33000000,47.22883018,48,68.09788185,69,9,19,5,0,1,0,13,11,3,5,1,0,0,9,0,0,2,0,1,2,1.22884003,45.71919879,1.87812869,47.95256405,-1.96342148,-33.88266245,2.70389938,70.57309435,-1.20117447,-18.37994466,14.69181040,2,5,7,3,7,0,2,3,0,0,0,1,2,0,1,0,0,0,0,1,2,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,14.86983550,20.11244340,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/1198e753432f40758824b83465f66168.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
10,KS,20,005,20005,081800,20005081800,2726,190.60000000,14.30000000,2705,189.20000000,99,36,17,47.22222222,79,79.79797980,29,7,7,1,6,36,10,7,1,7,80.55555556,70.00000000,100.00000000,100,85.71428571,36,10,7,1,7,0,3,1,0,12,12.12121212,0.65656566,11,18,21,12,20,17,7,5,3,2,0,3,0,0,15,7,1,4,4,1,0,8,2764,4,Small Town,0.70000000,TRUE,5.96960926,5.88573387,3.97973951,3.96354020,6.51230101,6.41913289,7.59768452,7.43649558,4.34153401,4.35000343,7.23589001,7.10086304,6.15050651,6.08126929,5.43300228,3.73322684,5.64812481,6.81081180,4.21459892,6.61701038,5.60497024,37,7,15,9,60.00000000,0.30789791,0.32059068,0.63203855,0.79728586,Low Burden,1,0,8,23,15.50000000,8.50000000,8.50000000,15.50000000,0.92860709,0.07139291,92.86070900,Opioid,Opioid Domint,4,19.50000000,18.50000000,0.94871795,Stable,3,1,0,7.05000000,255.06512300,2.18799278,6.91000000,53.26736679,54,76.80467282,77,12,18,6,1,0,0,15,7,4,4,1,1,0,12,1,0,1,0,1,1,1.91489798,51.29337326,1.16268699,20.58536290,-2.59621288,-38.11899307,2.40241145,57.00213699,-1.01204013,-15.29452239,8.46703943,7,5,10,3,6,0,2,4,1,0,0,2,2,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,10.75663432,9.09660785,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/7a2b1ee6c5074c32ab69d248486c326c.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
11,KS,20,005,20005,081900,20005081900,2898,3184.60000000,0.91000000,3038,3338.50000000,152,57,37,64.91228070,121,79.60526316,44,16,8,3,10,57,20,8,4,10,77.19298246,80.00000000,100.00000000,75,100.00000000,57,20,8,4,10,2,6,2,0,13,8.55263158,0.71710526,18,26,32,21,31,24,8,7,8,3,2,2,0,0,22,11,4,5,5,2,0,15,2949,4,Small Town,0.70000000,TRUE,8.59048265,8.40117036,6.10376399,5.98231908,8.81654798,8.63422102,10.85113598,10.56157964,7.12105799,7.03776132,10.51203798,10.25738685,8.13835198,8.01414737,7.26254343,5.14288049,7.26237514,9.10007038,6.07488816,8.93964427,7.11786577,55,11,22,10,45.45454545,0.72565700,0.82840144,1.36812819,1.44558788,Moderate Burden,2,0,15,37,22.50000000,15.50000000,15.50000000,22.50000000,0.87524776,0.12475224,87.52477600,Opioid,Opioid Domint,4,29.00000000,27.50000000,0.94827586,Stable,3,1,1,10.55000000,357.74838930,2.59124924,7.37250000,67.30716010,68,97.04824401,98,14,30,10,1,0,0,22,11,5,5,4,2,0,14,4,0,1,0,1,1,2.11949466,41.21220903,1.83769524,25.30432814,-3.02518222,-33.24350356,2.86475611,47.15734738,-1.82177850,-20.37864644,6.71578721,10,8,15,7,10,0,5,3,0,4,0,2,2,0,1,0,0,2,0,0,1,1,3,1,2,0,0,2,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,0,1,0,2,2,0,0.00000000,5.92238410,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/840b42f8e300461399444a9d2323be62.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
12,KS,20,005,20005,081600,20005081600,4158,10.70000000,388.94000000,4217,10.80000000,29,10,5,50.00000000,23,79.31034483,8,1,2,0,4,10,1,2,0,4,80.00000000,100.00000000,100.00000000,0,100.00000000,10,1,2,0,4,0,0,0,0,2,6.89655172,0.58620690,5,,5,6,5,,4,,,,,,,,2,0,0,1,1,0,0,0,4441,5,Small Town,0.70000000,TRUE,1.08834347,1.17383612,1.12587255,1.21196575,,,1.12587255,1.20880158,1.35104706,1.42231006,1.12587255,1.20082471,,,1.66468173,1.48800297,,1.81765156,1.73693128,1.87067404,,9,0,2,0,0.00000000,-0.55256383,-0.46933717,-0.65611832,-0.40670362,Low Burden,1,0,0,2,2.50000000,0.50000000,0.50000000,2.50000000,0.92441318,0.07558682,92.44131800,Opioid,Opioid Domint,4,4.50000000,4.50000000,1.00000000,Stable,3,1,0,1.20000000,27.02094123,0.71214853,11.10250000,27.85663541,28,40.16567549,41,5,4,0,0,0,0,2,0,1,1,0,0,0,5,0,,2,1,2,,-0.03358359,,0.36323219,24.97437798,-0.08072028,-4.44091054,0.13374276,7.69994519,-0.28461885,,,,1,0,3,3,,1,0,0,0,,0,1,1,0,,0,0,0,0,,0,0,1,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,,,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/bde8808c40244e9e99afccbf2f50a25d.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
13,KS,20,007,20007,968200,20007968200,1445,2.20000000,661.42000000,1504,2.30000000,10,2,2,100.00000000,10,100.00000000,2,5,0,1,1,2,5,0,1,1,100.00000000,100.00000000,0.00000000,100,100.00000000,2,5,0,1,1,0,0,0,0,2,20.00000000,0.90000000,0,0,,,,,4,,,,,,,,0,2,0,0,0,0,0,2,1490,10,Isolated Rural,0.80000000,TRUE,1.11856823,1.35739434,0.00000000,0.34674151,0.00000000,0.34295409,,,,,,,,,1.43738315,0.71742428,0.47437124,,,,,5,0,0,0,0.00000000,-0.60446539,-0.58218400,-0.65611832,-0.59193277,Low Burden,1,0,2,2,0.50000000,2.50000000,2.50000000,0.50000000,0.07558682,0.92441318,92.44131800,Stimulant,Low Activity,1,0.50000000,2.50000000,2.50000000,Increasing,4,1,0,0.10000000,6.71140940,0.60000000,3.72500000,7.87435200,8,11.35380000,12,3,2,0,0,0,0,0,2,0,0,0,0,0,3,0,0,,,,,-0.24305304,-33.87856282,0.59679339,,1.50735356,,-1.36496410,,1.30964168,,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,0,,,0,,,,,,,,0,0,0,,,https://bao.arcgis.com/InfographicsPlayer/BAMobile/26.R01/reportPlayer/InfographicFromResource.html#resourceUrl=https://www.arcgis.com/sharing/rest/content/items/695c2d3fae114b7d8128b5447cadc7bd/resources/6a38ff341635416f82fce5074b3b5eb0.txt&portalUrl=https://www.arcgis.com&noExportOptions=true
